ID,Name,Description,Type
T1217,Browser Information Discovery,"adversaries may enumerate information about browsers to learn more about compromised environments. data saved by browsers (such as bookmarks, accounts, and browsing history) may reveal a variety of personal information about users (e.g., banking sites, relationships/interests, social media, etc.) as well as details about internal network resources such as servers, tools/dashboards, or other related infrastructure.",Technique
T1185,Browser Session Hijacking,"adversaries may take advantage of security vulnerabilities and inherent functionality in browser software to change content, modify user-behaviors, and intercept information as part of various browser session hijacking techniques.",Technique
T1110,Brute Force,"adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained. without knowledge of the password for an account or set of accounts, an adversary may systematically guess the password using a repetitive or iterative mechanism. brute forcing passwords can take place via interaction with a service that will check the validity of those credentials or offline against previously acquired credential data, such as password hashes.",Technique
T1110.001,Password Guessing,"adversaries with no prior knowledge of legitimate credentials within the system or environment may guess passwords to attempt access to accounts. without knowledge of the password for an account, an adversary may opt to systematically guess the password using a repetitive or iterative mechanism. an adversary may guess login credentials without prior knowledge of system or environment passwords during an operation by using a list of common passwords. password guessing may or may not take into account the target's policies on password complexity or use policies that may lock accounts out after a number of failed attempts.",Technique
T1110.002,Password Cracking,"adversaries may use password cracking to attempt to recover usable credentials, such as plaintext passwords, when credential material such as password hashes are obtained. os credential dumping can be used to obtain password hashes, this may only get an adversary so far when pass the hash is not an option. further, adversaries may leverage data from configuration repository in order to obtain hashed credentials for network devices.",Technique
T1110.003,Password Spraying,"adversaries may use a single or small list of commonly used passwords against many different accounts to attempt to acquire valid account credentials. password spraying uses one password (e.g. 'password01'), or a small list of commonly used passwords, that may match the complexity policy of the domain. logins are attempted with that password against many different accounts on a network to avoid account lockouts that would normally occur when brute forcing a single account with many passwords.",Technique
T1110.004,Credential Stuffing,"adversaries may use credentials obtained from breach dumps of unrelated accounts to gain access to target accounts through credential overlap. occasionally, large numbers of username and password pairs are dumped online when a website or service is compromised and the user account credentials accessed. the information may be useful to an adversary attempting to compromise accounts by taking advantage of the tendency for users to use the same passwords across personal and business accounts.",Technique
T1612,Build Image on Host,"adversaries may build a container image directly on a host to bypass defenses that monitor for the retrieval of malicious images from a public registry. a remote build request may be sent to the docker api that includes a dockerfile that pulls a vanilla base image, such as alpine, from a public or local registry and then builds a custom image upon it.",Technique
T1115,Clipboard Data,adversaries may collect data stored in the clipboard from users copying information within or between applications.,Technique
T1651,Cloud Administration Command,"adversaries may abuse cloud management services to execute commands within virtual machines. resources such as aws systems manager, azure runcommand, and runbooks allow users to remotely run scripts in virtual machines by leveraging installed virtual machine agents.",Technique
T1580,Cloud Infrastructure Discovery,"an adversary may attempt to discover infrastructure and resources that are available within an infrastructure-as-a-service (iaas) environment. this includes compute service resources such as instances, virtual machines, and snapshots as well as resources of other services including the storage and database services.",Technique
T1538,Cloud Service Dashboard,"an adversary may use a cloud service dashboard gui with stolen credentials to gain useful information from an operational cloud environment, such as specific services, resources, and features. for example, the gcp command center can be used to view all assets, findings of potential security risks, and to run additional queries, such as finding public ip addresses and open ports.",Technique
T1526,Cloud Service Discovery,"an adversary may attempt to enumerate the cloud services running on a system after gaining access. these methods can differ from platform-as-a-service (paas), to infrastructure-as-a-service (iaas), or software-as-a-service (saas). many services exist throughout the various cloud providers and can include continuous integration and continuous delivery (ci/cd), lambda functions, entra id, etc. they may also include security services, such as aws guardduty and microsoft defender for cloud, and logging services, such as aws cloudtrail and google cloud audit logs.",Technique
T1619,Cloud Storage Object Discovery,"adversaries may enumerate objects in cloud storage infrastructure. adversaries may use this information during automated discovery to shape follow-on behaviors, including requesting all or specific objects from cloud storage. similar to file and directory discovery on a local host, after identifying available storage services (i.e. cloud infrastructure discovery) adversaries may access the contents/objects stored in cloud infrastructure.",Technique
T1059,Command and Scripting Interpreter,"adversaries may abuse command and script interpreters to execute commands, scripts, or binaries. these interfaces and languages provide ways of interacting with computer systems and are a common feature across many different platforms. most systems come with some built-in command-line interface and scripting capabilities, for example, macos and linux distributions include some flavor of unix shell while windows installations include the windows command shell and powershell.",Technique
T1059.001,PowerShell,"adversaries may abuse powershell commands and scripts for execution. powershell is a powerful interactive command-line interface and scripting environment included in the windows operating system. adversaries can use powershell to perform a number of actions, including discovery of information and execution of code. examples include the start-process cmdlet which can be used to run an executable and the invoke-command cmdlet which runs a command locally or on a remote computer (though administrator permissions are required to use powershell to connect to remote systems).",Technique
T1059.002,AppleScript,"adversaries may abuse applescript for execution. applescript is a macos scripting language designed to control applications and parts of the os via inter-application messages called appleevents. these appleevent messages can be sent independently or easily scripted with applescript. these events can locate open windows, send keystrokes, and interact with almost any open application locally or remotely.",Technique
T1059.003,Windows Command Shell,"adversaries may abuse the windows command shell for execution. the windows command shell (cmd) is the primary command prompt on windows systems. the windows command prompt can be used to control almost any aspect of a system, with various permission levels required for different subsets of commands. the command prompt can be invoked remotely via remote services such as ssh.",Technique
T1059.004,Unix Shell,"adversaries may abuse unix shell commands and scripts for execution. unix shells are the primary command prompt on linux and macos systems, though many variations of the unix shell exist (e.g. sh, bash, zsh, etc.) depending on the specific os or distribution. unix shells can control every aspect of a system, with certain commands requiring elevated privileges.",Technique
T1059.005,Visual Basic,"adversaries may abuse visual basic (vb) for execution. vb is a programming language created by microsoft with interoperability with many windows technologies such as component object model and the native api through the windows api. although tagged as legacy with no planned future evolutions, vb is integrated and supported in the .net framework and cross-platform .net core.",Technique
